score,group
114.24,1
109,1
111,1
116,1
95,1
86,1
103,1
133,1
113,1
97,1
120,1
121,1
98,1
91,1
87,1
120,1
70,1
99,1
101,1
139,1
85,1
87,1
97,1
139,1
124,1
103,1
103,1
111,1
112,1
114,1
116,1
113,1
93,1
109,1
100,1
117,1
85,1
128,1
111,1
109,1
93,1
85,1
116,1
95,1
130,1
109,1
103,1
94,1
105,1
107,1
99,1
93,1
83,1
108,1
110,1
111,1
83,1
73.94,2
87,2
98,2
114.3,2
87.7,2
87,2
97,2
128,2
87,2
86,2
108,2
113,2
107,2
105,2
99,2
90,2
78,2
